,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
6806,6806,33_169,33_74,22.25848,1.910218,22.9351,0.0932,-3.379276e-06,20.0,20.0,2901.0,2171.0,2900.7159,2170.9344,2900.7159,2170.9344,191.9746116031669,27.32020683546985,1.246,0.597,-46.36,0.10698,0.05133,-46.36,2900.7159,2170.9344,191.9746116031669,27.32020683546985,0.43702843225,0.34580130168,0.43702843225,0.34580130168,0.694,0.549,-29.82,0.6940053,0.5488045,-29.82,36.7492,0.0,5.13,2.087,0.521,1.0,33.0
6807,6807,33_170,33_73,2.28791,0.6124274,25.4053,0.2907,-0.0001567378,1.0,1.0,2670.0,2173.0,2670.0,2173.0,2670.0,2173.0,192.04764670053208,27.321732644612123,0.289,0.289,45.0,0.0773,0.0773,45.0,2670.0,2173.0,192.04764670053208,27.321732644612123,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.2406,0.0,0.0,1.0,0.0,0.995,33.0
6808,6808,33_171,33_72,0.2168319,0.1885371,27.9636,0.9443,-0.0009006259,1.0,1.0,2605.0,2171.0,2605.0,2171.0,2605.0,2171.0,192.0681988071622,27.322881840472437,0.289,0.289,45.0,0.25186,0.25186,45.0,2605.0,2171.0,192.0681988071622,27.322881840472437,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.5196,0.0,0.0,1.0,0.0,0.677,33.0
6809,6809,33_172,33_71,4.099187,0.8197547,24.7721,0.2172,-0.00200805,1.0,1.0,2668.0,2166.0,2668.0,2166.0,2668.0,2166.0,192.0482079383859,27.32371862650421,0.289,0.289,45.0,0.05775,0.05775,45.0,2668.0,2166.0,192.0482079383859,27.32371862650421,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,33.1667,0.0,0.0,1.0,0.0,0.996,33.0
6810,6810,33_173,33_70,2.880859,0.6872209,25.1551,0.2591,-1.770414e-05,1.0,1.0,2981.0,2165.0,2981.0,2165.0,2981.0,2165.0,191.9491450463063,27.32113365923369,0.289,0.289,45.0,0.06888,0.06888,45.0,2981.0,2165.0,191.9491450463063,27.32113365923369,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,33.1122,0.0,0.0,1.0,0.0,0.996,33.0
6811,6811,33_174,33_69,0.7648015,0.3540866,26.595,0.5028,-0.0004089561,1.0,1.0,2574.0,2164.0,2574.0,2164.0,2574.0,2164.0,192.0779394592584,27.325128678776228,0.289,0.289,45.0,0.13378,0.13378,45.0,2574.0,2164.0,192.0779394592584,27.325128678776228,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,36.5619,0.0,0.0,1.0,0.0,0.957,33.0
6812,6812,33_175,33_68,2.616124,0.654884,25.2597,0.2719,-1.15176e-05,2.0,2.0,2940.0,2162.0,2940.0,2162.0263,2940.0,2162.0263,191.96208756948545,27.32234868887247,0.33,0.289,90.0,0.08287,0.0723,90.0,2940.0,2162.0263,191.96208756948545,27.32234868887247,0.0833333,0.084886751047,0.0833333,0.084886751047,0.291,0.289,90.0,0.2913533,0.2886751,90.0,34.4186,0.0,1.72,1.143,0.125,0.991,33.0
6813,6813,33_176,33_67,1.355459,0.4713877,25.9737,0.3777,-1.421822e-05,1.0,1.0,2761.0,2160.0,2761.0,2160.0,2761.0,2160.0,192.01871268770245,27.32456060285281,0.289,0.289,45.0,0.10045,0.10045,45.0,2761.0,2160.0,192.01871268770245,27.32456060285281,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,39.6658,0.0,0.0,1.0,0.0,0.989,33.0
6814,6814,33_177,33_66,3.440487,0.7510088,24.9623,0.2371,-0.0003457056,1.0,1.0,2651.0,2160.0,2651.0,2160.0,2651.0,2160.0,192.05352702288184,27.32555916255573,0.289,0.289,45.0,0.06303,0.06303,45.0,2651.0,2160.0,192.05352702288184,27.32555916255573,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,38.8967,0.0,0.0,1.0,0.0,0.996,33.0
6815,6815,33_178,33_65,0.5501248,0.3003074,26.9527,0.5928,-2.042098e-05,1.0,1.0,2898.0,2158.0,2898.0,2158.0,2898.0,2158.0,191.9753361539585,27.32386774221693,0.289,0.289,45.0,0.1578,0.1578,45.0,2898.0,2158.0,191.9753361539585,27.32386774221693,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,33.9416,0.0,0.0,1.0,0.0,0.908,33.0
6816,6816,33_179,33_64,1.529264,0.5006986,25.8427,0.3556,-0.0006680569,1.0,1.0,2600.0,2155.0,2600.0,2155.0,2600.0,2155.0,192.06961818725145,27.32742497561417,0.289,0.289,45.0,0.09456,0.09456,45.0,2600.0,2155.0,192.06961818725145,27.32742497561417,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.2638,0.0,0.0,1.0,0.0,0.991,33.0
