col1,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
46336,46336,33_77,33_1587,31.18058,2.207253,22.5369,0.0769,-1.025361E-5,2.0,2.0,2621.0,2500.0,2620.9059,2500.0,2620.9059,2500.0,315.6675438214167,62.38905946995664,0.411,0.289,0.0,0.02906,0.02043,0.0,2620.9059,2500.0,315.6675438214167,62.38905946995664,0.089149655934,0.0833333,0.089149655934,0.0833333,0.299,0.289,0.0,0.2985794,0.2886751,0.0,99.0,0.0,1.95,1.422,0.297,1.0,33.0
46337,46337,33_78,33_1586,15.00073,1.530968,23.3313,0.1108,0.00293179,1.0,1.0,2999.0,2499.0,2999.0,2499.0,2999.0,2499.0,315.4382182744932,62.39328417332285,0.289,0.289,45.0,0.02946,0.02946,45.0,2999.0,2499.0,315.4382182744932,62.39328417332285,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,34.9248,0.0,0.0,1.0,0.0,1.0,33.0
46339,46339,33_80,33_1584,2.873146,0.6700217,25.1257,0.2533,-0.003965336,1.0,1.0,2753.0,2499.0,2753.0,2499.0,2753.0,2499.0,315.5874456246077,62.39076095302145,0.289,0.289,45.0,0.06734,0.06734,45.0,2753.0,2499.0,315.5874456246077,62.39076095302145,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,33.1257,0.0,0.0,1.0,0.0,1.0,33.0
46340,46340,33_81,33_1583,0.842066,0.3627297,26.4583,0.4678,0.004038412,1.0,1.0,3013.0,2498.0,3013.0,2498.0,3013.0,2498.0,315.42974649414646,62.39370406449856,0.289,0.289,45.0,0.12435,0.12435,45.0,3013.0,2498.0,315.42974649414646,62.39370406449856,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,37.3494,0.0,0.0,1.0,0.0,1.0,33.0
46341,46341,33_82,33_1582,8.212214,1.132766,23.9855,0.1498,0.003601594,2.0,2.0,3005.0,2497.0,3005.0,2497.3071,3005.0,2497.3071,315.43461462142704,62.3938195661672,0.544,0.289,90.0,0.07506,0.03982,90.0,3005.0,2497.3071,315.43461462142704,62.3938195661672,0.0833333,0.11573211763,0.0833333,0.11573211763,0.34,0.289,90.0,0.3401942,0.2886751,90.0,38.3591,0.0,0.93,1.885,0.47,1.0,33.0
46342,46342,33_83,33_1581,15.20605,1.54141,23.3166,0.1101,0.001638336,1.0,1.0,2975.0,2498.0,2975.0,2498.0,2975.0,2498.0,315.45279943851324,62.39332608697112,0.289,0.289,45.0,0.02926,0.02926,45.0,2975.0,2498.0,315.45279943851324,62.39332608697112,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,35.1792,0.0,0.0,1.0,0.0,1.0,33.0
46343,46343,33_84,33_1580,7.389036,1.074494,24.1002,0.1579,-0.002923087,3.0,3.0,2940.0,2498.0,2939.5606,2497.9305,2939.5606,2497.9305,315.4743001282973,62.39298968820896,0.504,0.238,11.6,0.07338,0.03463,11.6,2939.5606,2497.9305,315.4743001282973,62.39298968820896,0.1857543688,0.085432925059,0.1857543688,0.085432925059,0.431,0.292,1.06,0.4310323,0.2922301,1.06,32.658,0.0,0.62,2.119,0.528,1.0,33.0
46344,46344,33_85,33_1579,1.36427,0.4617004,25.9344,0.3675,0.003986164,1.0,1.0,3000.0,2497.0,3000.0,2497.0,3000.0,2497.0,315.4376545225692,62.393856263148194,0.289,0.289,45.0,0.09767,0.09767,45.0,3000.0,2497.0,315.4376545225692,62.393856263148194,0.0833333,0.0833333,0.0833333,0.0833333,0.289,0.289,45.0,0.2886751,0.2886751,45.0,99.0,3.0,0.0,1.0,0.0,1.0,33.0
46345,46345,33_86,33_1579,9.046521,1.188915,23.8804,0.1427,0.003049331,2.0,2.0,3001.0,2495.0,3001.0,2495.0,3001.0,2495.0,315.43709074889347,62.39442835115931,0.31,0.289,90.0,0.04075,0.03794,90.0,3001.0,2495.0,315.43709074889347,62.39442835115931,0.0833333,0.084158969649,0.0833333,0.084158969649,0.29,0.289,90.0,0.2901016,0.2886751,90.0,34.9974,2.0,0.0,1.074,0.069,1.0,33.0
46346,46346,33_87,33_1578,40.47533,2.51481,22.2536,0.0675,0.003281502,3.0,3.0,2996.0,2497.0,2996.377,2496.6203,2996.377,2496.6203,315.4398606164696,62.39392699106909,0.747,0.291,-45.36,0.0464,0.01807,-45.36,2996.377,2496.6203,315.4398606164696,62.39392699106909,0.1562277931,0.15628522313,0.1562277931,0.15628522313,0.479,0.289,-45.01,0.4787166,0.2886926,-45.01,99.0,0.0,1.47,2.567,0.61,1.0,33.0
46347,46347,33_88,33_1577,26.67457,2.041544,22.7064,0.0831,0.002187996,2.0,2.0,2973.0,2497.0,2972.6565,2497.0,2972.6565,2497.0,315.4542427317677,62.393583728219056,0.556,0.289,0.0,0.04253,0.02209,0.0,2972.6565,2497.0,315.4542427317677,62.393583728219056,0.14831282984,0.0833333,0.14831282984,0.0833333,0.385,0.289,0.0,0.385114,0.2886751,0.0,99.0,0.0,0.94,1.925,0.481,1.0,33.0
46349,46349,33_90,33_1575,12.92434,1.421066,23.4931,0.1194,-0.002441542,2.0,2.0,2780.0,2497.0,2779.9244,2497.0,2779.9244,2497.0,315.57115924711155,62.39160697429189,0.391,0.289,0.0,0.04304,0.03174,0.0,2779.9244,2497.0,315.57115924711155,62.39160697429189,0.087849860176,0.0833333,0.087849860176,0.0833333,0.296,0.289,0.0,0.2963948,0.2886751,0.0,33.6655,0.0,0.0,1.356,0.262,1.0,33.0
