,Unnamed: 0,NUMBER,ID_PARENT,FLUX_ISO,FLUXERR_ISO,MAG_ISO,MAGERR_ISO,BACKGROUND,ISOAREA_IMAGE,ISOAREAF_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,X_IMAGE,Y_IMAGE,X_IMAGE_DBL,Y_IMAGE_DBL,X_WORLD,Y_WORLD,A_IMAGE,B_IMAGE,THETA_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,XWIN_IMAGE,YWIN_IMAGE,XWIN_WORLD,YWIN_WORLD,X2WIN_IMAGE,Y2WIN_IMAGE,X2WIN_WORLD,Y2WIN_WORLD,AWIN_IMAGE,BWIN_IMAGE,THETAWIN_IMAGE,AWIN_WORLD,BWIN_WORLD,THETAWIN_WORLD,MU_THRESHOLD,FLAGS,FWHM_IMAGE,ELONGATION,ELLIPTICITY,CLASS_STAR,SUBDIV_NUMBER
1627,1627,23_8,23_57,2798.164,52.78428,17.7884,0.0205,188.2042,48.0,53.0,1119.0,1949.0,1119.389,1948.2589,1119.389,1948.2589,142.25799668008608,27.43581002211457,2.188,1.329,-55.67,0.05043,0.03005,-54.11,1119.389,1948.2589,142.25799668008608,27.43581002211457,1.5612485389,1.9383763352,1.5612485389,1.9383763352,1.477,1.148,-57.96,1.476925,1.14818,-57.96,23.4088,0.0,5.44,1.646,0.392,0.012,23.0
1628,1628,23_9,23_56,1463.018,36.49752,18.4924,0.0271,187.0804,22.0,25.0,1487.0,1936.0,1486.9105,1936.4701,1486.9105,1936.4701,142.14147736078593,27.437780760606756,1.19,1.072,76.76,0.03875,0.03362,78.63,1486.9105,1936.4701,142.14147736078593,27.437780760606756,0.4874981676,0.53517506897,0.4874981676,0.53517506897,0.734,0.696,75.75,0.7337998,0.6958528,75.75,23.3479,0.0,2.08,1.11,0.099,0.974,23.0
1629,1629,23_10,23_55,343.8586,22.10255,20.0646,0.0698,188.4323,9.0,10.0,1301.0,1934.0,1300.9471,1934.1497,1300.9471,1934.1497,142.2004019446823,27.43912552593181,0.875,0.743,85.81,0.07317,0.05825,89.35,1300.9471,1934.1497,142.2004019446823,27.43912552593181,0.47469157691,0.5315822149,0.47469157691,0.5315822149,0.733,0.685,73.6,0.7327883,0.6850511,73.6,23.4276,0.0,2.18,1.178,0.151,0.478,23.0
1630,1630,23_11,23_54,335.4326,23.29846,20.0916,0.0754,187.7353,9.0,11.0,1338.0,1917.0,1338.3155,1916.9293,1338.3155,1916.9293,142.18848808166243,27.443831834042182,1.021,0.733,-17.78,0.08744,0.06173,-15.3,1338.3155,1916.9293,142.18848808166243,27.443831834042182,0.95932194088,0.78593040939,0.95932194088,0.78593040939,1.012,0.849,-27.6,1.012199,0.8489439,-27.6,23.3655,0.0,3.79,1.394,0.283,0.094,23.0
1632,1632,23_13,23_52,646.0363,29.93309,19.3799,0.0503,188.176,16.0,18.0,1478.0,1867.0,1477.6593,1866.8462,1477.6593,1866.8462,142.1441134203144,27.457398370409276,1.15,0.96,86.01,0.06672,0.05269,89.65,1477.6593,1866.8462,142.1441134203144,27.457398370409276,0.60218792497,0.63285933159,0.60218792497,0.63285933159,0.803,0.768,62.15,0.8029562,0.7683155,62.15,23.414,0.0,2.8,1.197,0.165,0.887,23.0
1634,1634,23_15,23_50,53447.97,115.9744,14.5857,0.0024,188.2885,100.0,109.0,1307.0,1853.0,1307.0174,1853.7258,1307.0174,1853.7258,142.19814739444584,27.4617237177812,1.628,1.428,74.44,0.00506,0.00439,75.89,1307.0174,1853.7258,142.19814739444584,27.4617237177812,0.52559303473,0.59927836405,0.52559303473,0.59927836405,0.777,0.722,76.26,0.7771512,0.7217392,76.26,23.4039,0.0,2.37,1.14,0.123,0.984,23.0
1635,1635,23_16,23_49,17068.21,76.03843,15.8251,0.0048,187.6886,64.0,69.0,1378.0,1838.0,1378.344,1838.6008,1378.344,1838.6008,142.17547534123543,27.465714754375924,1.531,1.343,73.63,0.00959,0.00836,73.11,1378.344,1838.6008,142.17547534123543,27.465714754375924,0.50451200147,0.5632807299,0.50451200147,0.5632807299,0.754,0.706,73.21,0.7544312,0.7061347,73.21,23.372,0.0,2.27,1.14,0.122,0.984,23.0
1636,1636,23_17,23_48,8589.341,62.14005,16.5707,0.0079,188.0727,48.0,56.0,1076.0,1837.0,1075.9923,1837.6543,1075.9923,1837.6543,142.27131479745418,27.467072101760987,1.466,1.305,63.98,0.01482,0.01312,54.16,1075.9923,1837.6543,142.27131479745418,27.467072101760987,0.50512610575,0.57658775175,0.50512610575,0.57658775175,0.763,0.706,74.36,0.7633228,0.7064363,74.36,23.3912,0.0,2.28,1.123,0.11,0.982,23.0
1637,1637,23_18,23_47,3945.439,48.14641,17.4153,0.0133,188.1213,31.0,38.0,1342.0,1833.0,1342.0115,1833.7773,1342.0115,1833.7773,142.18697241573432,27.46720585847981,1.327,1.179,85.28,0.02133,0.01926,-85.81,1342.0115,1833.7773,142.18697241573432,27.46720585847981,0.46509311007,0.53636828955,0.46509311007,0.53636828955,0.735,0.679,76.52,0.7353333,0.6787829,76.52,23.3946,0.0,2.16,1.126,0.112,0.981,23.0
1638,1638,23_19,23_46,1724.731,37.5786,18.3138,0.0237,187.4411,21.0,26.0,1174.0,1833.0,1174.3316,1833.0415,1174.3316,1833.0415,142.2401232353592,27.46802156034695,1.189,1.095,52.44,0.03344,0.0305,33.25,1174.3316,1833.0415,142.2401232353592,27.46802156034695,0.49918377891,0.53865968816,0.49918377891,0.53865968816,0.739,0.701,68.66,0.7387617,0.7014803,68.66,23.3637,0.0,2.12,1.086,0.079,0.976,23.0
